ssvid,shipname_norm,flag,imo,callsign,vessel_class,length_m,tonnage_gt,engine_power_kw,gfw_owner,gfw_owner_address,gfw_owner_flag,all_encounters,HS_encounters,fraction_encounters_in_HS
215338000,ANUKETPEARL,MLT,9395886,9HA2703,bunker,NA,5581,NA,ANUKET PEARL SHIPPING,"CARE OF ABC MARITIME AG , RUE PERDTEMPS, 1, 1260 NYON, SWITZERLAND.",CHE,4,1,0.25
273210110,PAMYATKIROVA,RUS,8701040,UFXA,carrier,144.35,12403,7600,OLYMPIA,"OFFICE 506, UL UNIVERSITETSKAYA 2G, KALININGRAD, 236040, RUSSIA.",RUS,46,26,0.57
273211110,PAMYATILICHA,RUS,8811675,UFYW,carrier,144.35,12406,7600,RUMB,"CARE OF BALTMED REEFER SERVICES LTD , 5, XENIAS STREET & CHARILAOU TRIKOUPI, KIFISIA, 145 62 ATHENS, GREECE.",RUS,16,1,0.06
273312860,GARMONIYA,RUS,8516639,UERQ,carrier,103,4295,NA,YUZMORRYBFLOT,"UL ZAVODSKAYA 16, YUZHNO-MORSKOY, NAKHODKA, PRIMORSKIY KRAY, 692954, RUSSIA.",RUS,3,1,0.33
273313270,SIMFONIYA,RUS,8516627,UFEF,carrier,103,4298,NA,YUZMORRYBFLOT,"APARTMENT 20, UL FONTANNAYA 19, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,18,3,0.17
273324210,ARCTIC,RUS,8223464,UFOR,carrier,99.01,3526,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,37,12,0.32
273335960,FRIOAGATES,RUS,9081631,UGKH,carrier,133.95,6964,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,39,6,0.15
273353640,EKATERINA,RUS,8603171,UBZH8,carrier,116.57,4148,3307.5,UNITED HUATONG MARITIME,"UL PUSHKINSKAYA 40, VLADIVOSTOK, PRIMORSKIY KRAY, 690002, RUSSIA.",RUS,41,1,0.02
273354920,ICEWIND,RUS,9003146,UBHH7,carrier,116.2,4280,NA,REFTRANSFLOT,"UL VOKZALNAYA 1, PETROPAVLOVSK-KAMCHATSKIY, KAMCHATSKIY KRAY, 683000, RUSSIA.",RUS,15,2,0.13
273356610,PROLIVLONGA,RUS,8136740,UBXG4,carrier,172.1,13496,NA,LINE INVEST C,"OFFICE 301, PEREULOK SHEVCHENKO 4, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,43,13,0.3
273410910,LIMANSKIY,RUS,8423612,UGFF,carrier,78.7,2418,NA,LODIA,"UL BERYOZOVAYA 30, VLADIVOSTOK, PRIMORSKIY KRAY, 690012, RUSSIA.",RUS,13,2,0.15
273421240,ANTONGURIN,RUS,8723402,UERJ,carrier,126.6,6689,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,47,16,0.34
273441670,JUPITER,RUS,7700116,UDOW,carrier,71,1727,NA,VLADKRISTALL,"UL 50-LET VLKSM 26-B, VLADIVOSTOK, PRIMORSKIY KRAY, 690077, RUSSIA.",RUS,17,3,0.18
273449080,SORAKSAN,RUS,8723361,UAYO,carrier,126.6,6648,NA,ZOLOTAYA DOLINA,"CARE OF VOSTOKTRANSSHIPPING CO LTD , UL SVETLANSKAYA 83, VLADIVOSTOK, PRIMORSKIY KRAY, 690001, RUSSIA.",RUS,36,11,0.31
273512400,TAMBOV,RUS,8225723,UIMH,carrier,152.7,12527,NA,DALTRANSFLOT,"RUSSIA, 690012 VLADIVOSTOK-12, A/YA 12/125",RUS,52,2,0.04
273811020,KAPITANPRYAKHA,RUS,8834483,UIWB,carrier,133.95,6998,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,39,8,0.21
273812710,VSEVOLODSIBIRTSEV,RUS,8610277,UDVB,carrier,165.97,32096,NA,YUZHMORRYBFLOT,"UL NABEREZHNAYA 8, NAKHODKA, PRIMORSKIY KRAY, 692955, RUSSIA.",RUS,60,1,0.02
273825200,PREDSEDATELGANSLEP,RUS,8834689,UIVX,carrier,55,683,NA,AMURRYBPROM,"UL GOGOLYA 27, KHABAROVSK, 680000, RUSSIA.",RUS,3,1,0.33
280032331,SHUNHANG,PAN,8214645,H3DE,carrier,94.2,3321,3347,SHUNHANG INTERNATIONAL SHIPPING,"ROOM 2502, TECHNOLOGICAL REAL STATE BUILDING, DONGHAI WEST ROAD, NO. 2121, GOUSHAN STREET, PUTUO, ZHOUZHAN, CHINA",CHN,1,1,1
325753000,OCEANSTAR96,DMA,8517358,J7DE4,carrier,145.55,6579,NA,HONG KONG HOI SHUN IMPORT,"ROOM 603B, 6TH FLOOR, HANG POINT COMMERCIAL BUILDING, CHEUNG SHA WAN ROAD, KOWLOON, HONG KONG, CHINA.",HKG,3,3,1
351336000,FRIONAGATO,PAN,9227596,H3QQ,carrier,135.03,7367,7060.79,STARFIRE MARINE,"VIA ESPANA 122, DELTA TOWER, FLOOR 14, CITY OF PANAMA, REPUBLIC OF PANAMA",GRC,11,11,1
351478000,ATMODA,PAN,8908076,3FNT8,carrier,144.34,12413,7707.67,BECKENSFIELD,"C/O TRIDENT TRUST COMPANY(B.V.I.) LIMITED, TRIDEN CHAMBERS, P.O. BOX 146, ROAD TOWN",VGB,25,24,0.96
351527000,OCEANMARINER,PAN,8217104,H8IL,carrier,125,5070,5222,GOOD SUCCESS TRANSPORTATION,"HONG KONG, CHINA.",HKG,21,21,1
351537000,RUISHENG,PAN,8688755,3FOH6,carrier,98,3298,2060,RUI CHENG INTERNATIONAL,"ROOM D, 10TH FLOOR, TOWER A, BILLION CENTER, 1, WANG KWONG ROAD, KOWLOON BAY, KOWLOON, HONG KONG, CHINA.",CHN,13,13,1
351543000,LIAOYUREEFER1,PAN,8904068,3FLJ6,carrier,115,5286,5001,HONG KONG EVER OCEAN SHIPPING,"UNIT 2507, 25/F., COSCO TOWER, GRAND MILLENNIUM PLAZA, 183 QUEEN'S ROAD CENTRAL HK",HKG,7,6,0.86
351763000,SHINHANG,PAN,8214839,3FRT,carrier,143.54,8739,6714,SHIN HANG SHIPPING,"TRUST COMPANY COMPLEX, AJELTAKE ROAD, AJELTAKE ISLAND, MAJURO, REPUBLIC OF THE MARSHALL ISLANDS MH96960",MHL,55,55,1
351776000,MINGHANG,PAN,8130837,3FIY4,carrier,145.55,6183,5803,QIHANG INTERNATIONAL SHPG HKG,"CARE OF EAST MARITIME SERVICES SA , VIA ESPANA & CALLE GABRIELA MISTRAL, 10, LA CRESTA, PANAMA CITY, PANAMA.",PAN,16,16,1
351822000,TAIFU3,PAN,7927453,H3AI,carrier,99.58,3505,3678,SUN VICTORY SHIPPING,"NO. 13 YU KANG P'EI 1 ROAD, CHIEN CHEN DIST, KAOHSIUNG, TAIWAN",TWN,25,22,0.88
351960000,MINGHANG5,PAN,8921470,3EYJ5,carrier,150.01,10405,11220,MINGHANG INTERNATIONAL SHIPPING,UNIT D 16/F ONE CAPITAL PLACE 18 LUARD RPAD WAN CHAI HK,HKG,68,68,1
352241000,TUNAPRINCESS,PAN,9314612,H3CN,carrier,120.75,4522,29993,STAR NAVIGATION,"MMG TOWER 16TH FLOOR, 53RD E STREET,URBANIZACION, MARBELLA, PANAMA, REPUBLIC OF PANAMA",PAN,18,16,0.89
352351000,AVUNDAREEFER,PAN,9072824,3EJD5,carrier,125,7313,7060,LILIUM SHIPPING,"SAMUEL LEWIS AVENUE, COMOSA BUILDING, 1ST FLOOR, PANAMA CITY, REPUBLIC OF PANAMA",PAN,4,4,1
352796000,KHANA,PAN,8810645,3EYB6,carrier,94.97,3475,3603,NOK,"5TH FLOOR OF CEMENTO PANAMA BUILDING, P.O. BOX 4493, PANAMA REPUBLICA DE PANAMA",PAN,3,3,1
352894000,TUNAQUEEN,PAN,9278612,HPFK,carrier,113.37,4499,4070,STAR NAVIGATION,"SWISSBANK TOWER 16TH FLOOR 53RD ST., URBANIZACION OBARRIO PANAMA-CITY REPUBLIC OF PANAMA",PAN,22,22,1
353185000,KURIKOMA,PAN,9145920,3FTS6,carrier,114.82,4150,2950,PANAMA TRL,"JUST AROSEMENA AVE. & 32ND ST. NO. 3-32 PANAMA CITY, PANAMA",PAN,6,6,1
353306000,FRIOCHIKUMA,PAN,9184536,3FWG8,carrier,127.38,7367,9600,SKY GLOBAL MARITIME,"OMEGA BUILDING MEZZANINE, SAMUEL LEWIS AVENUE & 53 RD STREET, PANAMA, REPUBLIC OF PANAMA",PAN,3,3,1
353709000,OCEANSTAR86,PAN,9045948,3FKX6,carrier,133.83,9829,9170,HONG KONG HOI SHUN IMPORT,"ROOM 603B, 6TH FLOOR, HANG POINT COMMERCIAL BUILDING, CHEUNG SHA WAN ROAD, KOWLOON, HONG KONG, CHINA.",HKG,10,10,1
353773000,ASIANBRIER,PAN,9172703,3FTB8,carrier,130.02,6873,7158.72,KYOKUYO SHIPPING PANAMA,81 BROAD STREET,LBR,1,1,1
353901000,HONGYING,PAN,9097056,H90Q,carrier,88.6,2383,NA,WAN SHUN SHIPPING,"CARE OF HAI LING SHIPPING (HONG KONG) LTD , JFZ1083, ROOM C, 2ND FLOOR, CAPITAL TRADE CENTRE, 62, TSUN YIP STREET, KWUN TONG, KOWLOON, HONG KONG, CHINA.",HKG,5,5,1
353981000,FRIOHELLENIC,PAN,9081679,3FVQ8,carrier,143.3,9997,15600,EXPLORER MARINE,"53RD STREET, URBANIZACION OBARRIO TORRE SWISS BANK PANAMA, REPUBLIC OF PANAMA",PAN,14,14,1
353982000,FRIOATHENS,PAN,8710340,3FAX7,carrier,141.6,8519,8385,ZEUS MARINE,"1ST FLOOR, INTERNATIONAL BLDG LINI HIGHWAY",VUT,1,1,1
354062000,HAIFENG668,PAN,8800236,3EIN8,carrier,124.7,4970,4438.7,FIRST OCEAN DEVELOPMENT,"UNIT 502, 5F., HANG SENG NORTH POINT BUILDING, 341 KING’S ROADA, NORTH POINT, HONG KONG.",HKG,26,13,0.5
354136000,ROYALCOOP,PAN,8609840,3FWS5,bunker,90,4007,2345,COSMIC VIEW,"P.O. BOX 957, OFFSHORE INCORPORATIONS CENTRE, ROAD TOWN, TORTOLA, BRITISH VIRGIN ISLANDS",VGB,68,68,1
354493000,MABAH,PAN,9105358,3FSC4,carrier,120.75,4457,3087,GJENDE REEFER,HAAKON VII`S GATE 1. N-0160 OSLO NORWAY.,NOR,14,14,1
355141000,YUNGDAFA102,PAN,8323599,3FEJ5,carrier,93.88,2829,2471.99,ETERNAL MASTER,"Nº 121, GUOGUANG RD.,QIANZHEN DIST.,KAOHSIUNG CITY 806, TAIWAN",TWN,1,1,1
355168000,SHINIZU,PAN,9186936,3EYX6,carrier,88.11,2781,2647,SEA ROAD LINE,80 BROAD STREET MONROVIA LIBERIA,LBR,9,1,0.11
355317000,ORIENTALCHILAN,PAN,8301723,3FHF5,carrier,79.83,2113,2207,KAO SHENG MARINE,"CARE OF ASIAN MARINE SERVICES LTD , ROOM 1, 4TH FLOOR, 131, XINSHENG ROAD, QIANZHEN DISTRICT, KAOHSIUNG CITY, 80672, CHINA, REPUBLIC OF (TAIWAN)",TWN,47,42,0.89
355720000,GLOBALMARINER,PAN,8813582,3EMW4,carrier,138.85,6545,NA,HONG FA SHIPPING,"CARE OF GREATSOURCES SHIPPING CONSULTANTS LTD , A-2902, YUANLI MINGZHU BUILDING, 278, QUNZHONG LU, TAIJIANG QU, FUZHOU, FUJIAN, 350005, CHINA.",CHN,11,11,1
355827000,HAIFENG728,PAN,9019121,3EGZ6,carrier,141.15,10614,11400,MEXON SHIPPING,"30/F FLAT A3, TML TOWER, 3 HOI SHING RON, TSUEN WAN, NEW TERRITORIES, HONG KONG",HKG,40,40,1
356065000,BAOWIN,PAN,9109263,H3OD,carrier,83.76,2596,1470,BAO POWER SHIPPING,"FLR 17, NO.2 HUAWO BUILDING, 179# SHENZHEN ROAD, QINGDAO CITY, CHINA",CHN,18,18,1
356189578,YUNGDAFA102,PAN,8323599,3FEJ5,carrier,93.88,2829,2471.99,ETERNAL MASTER,"Nº 121, GUOGUANG RD.,QIANZHEN DIST.,KAOHSIUNG CITY 806, TAIWAN",TWN,1,1,1
356258000,ATLANTICGEM,PAN,9045936,H3UQ,carrier,NA,9829,NA,TCT MARINE SURVEYOR CLAIM,NA,VGB,12,12,1
356414000,ANGEL18,PAN,9167710,H9WL,bunker,110.1,6332,3603,SUCCESS DIRECT,"CARE OF WINSON SHIPPING (TAIWAN) CO LTD , ROOM 1, 26TH FLOOR, 29, HAIBIAN ROAD, LINGYA DISTRICT, KAOHSIUNG CITY, 80248, CHINA, REPUBLIC OF (TAIWAN)",TWN,70,70,1
356470000,ANGEL101,PAN,9101455,HOMW,bunker,104.01,4974,2942,WINSON SEA BUNKER,"CARE OF WINSON SHIPPING (TAIWAN) CO LTD , ROOM 1, 26TH FLOOR, 29, HAIBIAN ROAD, LINGYA DISTRICT, KAOHSIUNG CITY, 80248, CHINA, REPUBLIC OF (TAIWAN)",VGB,49,49,1
356514000,HAIFENG618,PAN,9035084,3FHE6,carrier,138,7800,7060,CHINA KINGDOM SHIPPING,"UNITS502, 5/F., HANG SENG NORTH POINT BUILDING, 341 KING’S ROAD, NORTH POINT, HONG KONG",HKG,16,16,1
356591000,WINSHENG,PAN,7810571,3FWH6,carrier,122.46,4177,6200,WIN SHENG MARINE,"NO.75 YU KANG CENTRAL 2ND ROAD KAOHSIUNG CITY, TAIWAN 806",TWN,9,7,0.78
356609000,FRIOLASPALMAS,PAN,8908193,3EBI9,carrier,140,9070,6863,SEABORN HONOR,"PASEO DEL MAR Y AVENIDA PACIFICO, COSTA DEL ESTE, MMG TOWER, PISO 23, CIUDAD DE PANAMA",PAN,31,31,1
357735000,FRIOMOGAMI,PAN,9184548,3FSC9,carrier,127.38,7367,7056,STAR GLOBAL SHIPPING,"C/O LASKARIDIS SHIPPING CO., LTD 5 XENIAS STREET, 14562, ATENAS, GRECIA",GRC,15,13,0.87
357805000,SKYFROST,PAN,8521830,3FTR9,carrier,141.99,12383,7597.19,BERWICK GROUP,"BAHAMAS INTERNATIONAL TRUST BUILDING BANK LANE, P.O. BOX N-8188 NASSAU, BAHAMAS",BHS,17,12,0.71
357832000,YONGXIANG9,PAN,9158537,3FGN5,carrier,140.18,9298,12621,YONGXIANG SHIPPING INTL,"RM D 10/F TOWER A BILLION CTR 1 WANG KWONG RD KOWLOON BAY KL, HONG KONG",HKG,17,17,1
370136000,YONGXIANG3,PAN,9019119,3FDB6,carrier,141.15,10614,11394.29,HAODA SHIPPING MANAGEMENT INTL,"OFFICE D, 10TH FLOOR, TOWER A, BILLION CENTRE, 1, WANG KWONG ROAD, KOWLOON BAY, KOWLOON, HONG KONG, CHINA.",HKG,38,38,1
370178000,HAIGONGYOU306,PAN,9150614,3EDS9,bunker,144.08,11375,6480,EVER ACCESS DEVELOPMENT,"7TH FLOOR, BUILDING 19, BLOCK 18188, NANSIHUAN XILU, FENGTAI QU, BEIJING, 100160, CHINA",CHN,106,102,0.96
370599000,IBUKI,PAN,9666481,3ELC8,carrier,127.81,6558,4550,STAR NAVIGATION,"MMG TOWER 16TH FLOOR, 53RD E STREET,URBANIZACION, MARBELLA, PANAMA, REPUBLIC OF PANAMA",PAN,28,28,1
370890000,FORTUNAREEFER,PAN,7908770,3EVW4,carrier,99.59,3493,3678,KINGFISHERS SHIPPING,FLOOR 17 BUILDING NO. 2 HAUWO BUILDING 179# SHENZHEN ROAD LAOSHAN DISTRICT QINGDAO CHINA,CHN,16,16,1
371335000,HAIFENG628,PAN,8317356,3FE06,carrier,138.38,6268,5995,MEXON SHIPPING,"CARE OF CHINA NATIONAL FISHERIES CORP (CNFC) , 19TH FLOOR, 188, NANSIHUAN XILU, FENGTAI QU, BEIJING, 100160, CHINA.",CHN,23,23,1
371596000,HAIGONGYOU303,PAN,9031507,3EVX5,bunker,104,4989,3655.4,GOLD DYNASTY FISHERIES DEVELOPMENTS,"ROOMS 2006-8, 20/F., TWO CHINACHEM EXCHANGE SQUARE, 338 KING’S ROAD, NORTHPOINT, HK.",HKG,57,57,1
371717000,HAIFENG698,PAN,8422711,3FSJ2,carrier,152.94,12398,7600,HUA HONG SHIPPING,"CARE OF ZHONGYU GLOBAL SEAFOOD CORP , 7TH FLOOR, BUILDING 19, BLOCK 18, 188, NANSIHUAN XILU, FENGTAI QU, BEIJING, 100160, CHINA.",CHN,45,45,1
371718984,DAFENGMARINER,PAN,8319031,3FIO6,carrier,85.68,3170,2909,HONGKONG HE YUE SHIPPING,"CARE OF FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD, ROOM 404, BUILDING 10, ANPING XIAOQU, WUYI ZHONGLU, TAIJIANG QU, FUZHOU, FUJIAN, CHINA.",HKG,1,1,1
371719000,DAFENGMARINER,PAN,8319031,3FIO6,carrier,85.68,3170,2909,HONGKONG HE YUE SHIPPING,"CARE OF FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD, ROOM 404, BUILDING 10, ANPING XIAOQU, WUYI ZHONGLU, TAIJIANG QU, FUZHOU, FUJIAN, CHINA.",HKG,4,4,1
371727000,RYOMA,PAN,9133305,3ELZ5,carrier,120.75,4493,2993,JONG SHYN SHIPBUILDING,NO. 77 SHANGZHU LANE QUIJIN DISTRICT KAOHSIUNG CITY 805 TAIWAN (R.O.C.),TWN,72,72,1
372033000,SHUNHANG,PAN,8214645,H3DE,carrier,94.2,3321,3347,SHUNHANG INTERNATIONAL SHIPPING,"ROOM 2502, TECHNOLOGICAL REAL STATE BUILDING, DONGHAI WEST ROAD, NO. 2121, GOUSHAN STREET, PUTUO, ZHOUZHAN, CHINA",CHN,8,8,1
372107000,FRIOOLYMPIC,PAN,8801802,3FTF9,carrier,133.59,8487,7945,MARESOL NAVIGATION,80 BROAD STREET MOROVIA-LIBERIA,LBR,1,1,1
372387000,HUAJIAN107,PAN,8421298,3FHN6,carrier,100.98,4238,3501,UNITED OCEAN SHIP MANAGEMENT,ROOM 2105 JFZ1419 TREND CENTRE 29-31 CHEUNG LEE STREET CHAI WAN,HKG,2,2,1
372523000,ANGEL33,PAN,9011404,3FZT7,bunker,124,7916,3310,SAILING PROSPER,"P.O. BOX 957, OFFSHORE INCORPORATIONS CENTRE, ROAD TOWN, TORTOLA, BRITISH VIRGIN ISLAND",VGB,23,18,0.78
372538000,HUANYU1,PAN,8618865,3EKK9,carrier,137,7212,5660,WIN RAY INVESTMENT GROUP,"HONG KONG, CHINA.",HKG,1,1,1
372768000,FULLKUOSHIN,PAN,8604967,3EZA5,carrier,88.43,2525,1939.6,FULL KUO,"RM215, NO.3 YU KANG EAST 2ND RD., CIANJHEN DIST., KAOHSIUNG",TWN,74,74,1
372942000,HOUTAMARU,PAN,9003158,3ERI4,carrier,96.94,3519,2942,PANAMA TRL,"JUSTO AROSEMENA AVENUE & 32ND ST. 3-32, PANAMA",PAN,6,5,0.83
373039000,HAIFENG688,PAN,9016985,3FDH6,carrier,152.94,12413,7600,PACIFIC VENTURE DEVELOPMENT,"CARE OF CHINA NATIONAL FISHERIES CORP (CNFC) , 19TH FLOOR, 188, NANSIHUAN XILU, FENGTAI QU, BEIJING, 100160, CHINA.",CHN,43,43,1
373451000,ZEFYROSREEFER,PAN,8916748,3FPL2,carrier,133.59,8483,7760,OLYMPUS MARINE,"""C/O ATLAS CORPORATION LIMITED 1ST FLOOR, INTERNATIONAL BLDG LINI HIGHWAY PORT VILA, VANUATU""",VUT,15,14,0.93
373914000,ANGEL202,PAN,9083952,3FNC4,bunker,79.75,1985,2184.29,KEEP MOVING HOLDINGS,"VISTRA CORPORATE SERVICES CENTRE WICKHAMS CAY 11 ROAD TOWN, TORTOLA, VG 1110 ISLAS BRITANICAS",VGB,59,25,0.42
373939000,ANGEL201,PAN,9058593,3FCT,bunker,84.21,2030,2059,SEA UNIVERSE HOLDINGS,"VISTRA CORPORATE SERVICES CENTRE, WICKHAMS CAY II, ROAD TOWN, TORTOLA VG1110, BRITISH VIRGIN ISLANDS.",VGB,65,37,0.57
374014000,PONTOS,PAN,8908739,HONN,carrier,79.69,1610,1113.03,MAGIC PRESTIGE GROUP,NO. 56-13 YUGANG E. 2ND ROAD QIANZHEN DISTRICT KAOHSIUNG TAIWAN R.O.C.,TWN,39,39,1
374048000,SHINHOCHUN101,PAN,9220653,3FRF9,carrier,95.2,2495,2461.8,TUNAGO SHIPPING,ROOM 317 NO. 3 YU KANG EAST 2ND ROAD KAOSHIUNG 806 TAIWAN,TWN,16,16,1
374140000,SHINHOCHUN102,PAN,9262182,3FEQ5,carrier,95.2,2900,2461.8,TUNAGO SHIPPING,ROOM 317 NO. 3 YU KANG EAST 2ND ROAD KAOSHIUNG 806 TAIWAN,TWN,25,25,1
374173000,HANXING,PAN,9586332,3FYT4,carrier,83,1998,735,HAN SJ,"STREET ADDRESS Nº103 HOU AO, SHI ZHU TOU FISHING VILLAGE, LIU HENG, PUTOU DISTRICT, ZHOUSHAN CITY, ZHEJIANG PROVINCE, CHINA",CHN,5,5,1
374198000,HAIFENG718,PAN,9135169,3FIC4,carrier,134.74,8896,9621,CHINA KINGDOM SHIPPING,"CARE OF CHINA NATIONAL FISHERIES CORP (CNFC) , 19TH FLOOR, 188, NANSIHUAN XILU, FENGTAI QU, BEIJING, 100160, CHINA.",CHN,75,75,1
374290000,MINGHANG8,PAN,8224432,HPNW,carrier,149.03,9092,5648,MINGHANG INTERNATIONAL HKG,"UNIT E88, 3RD FLOOR, WING TAT COMMERCIAL BUILDING, 97, BONHAM STRAND EAST, SHEUNG WAN, HONG KONG, CHINA.",HKG,32,32,1
374321000,IRISREEFER,PAN,8513039,3FGM3,carrier,126,5578,5251,SEAVIEW MARITIME,"CARE OF BALTMED REEFER SERVICES LTD , 5, XENIAS STREET & CHARILAOU TRIKOUPI, KIFISIA, 145 62 ATHENS, GREECE.",PAN,1,1,1
374410000,YONGXIANG8,PAN,8609280,3EML7,carrier,144.5,7286,6140,YONGXIANG HONG KONG,"CARE OF EAST MARITIME SERVICES CO LTD , VIA ESPANA & CALLE GABRIELA MISTRAL, 10, LA CRESTA, PANAMA CITY, PANAMA.",PAN,19,19,1
374445000,QIHANG,PAN,8609292,3EAT9,carrier,144.5,7286,6140,QIHANG INTERNATIONAL SHPG MAI,"CARE OF EAST MARITIME SERVICES CO LTD , VIA ESPANA & CALLE GABRIELA MISTRAL, 10, LA CRESTA, PANAMA CITY, PANAMA.",PAN,68,68,1
374446000,HARU,PAN,9241932,3EHZ8,carrier,120.75,4521,2993,WORLD FISH ENTERPRISE,NO. 8 CHIEN CHIN 1ST STREET CHIEN JENN DISTRICT KAOHSIUNG TAIWAN,TWN,60,60,1
