ssvid,shipname_norm,flag,imo,callsign,vessel_class,length_m,tonnage_gt,engine_power_kw,gfw_owner,gfw_owner_address,gfw_owner_flag,all_encounters,HS_encounters,fraction_encounters_in_HS,owner,owner_source,corporate_actor,corporate_actor_source,main_company,main_company_flag,subsidiaries_and_affiliates,main_company_and_subsidiaries_source,remarks
215338000,ANUKETPEARL,MLT,9395886,9HA2703,bunker,NA,5581,NA,ANUKET PEARL SHIPPING,"CARE OF ABC MARITIME AG , RUE PERDTEMPS, 1, 1260 NYON, SWITZERLAND.",CHE,4,1,0.25,ANUKET PEARL SHIPPING LTD (EFFECTIVE 2010-09-16) IMO COMPANY NUMBER 5562531 NATIONALITY OF REGISTRATION MALTA,GFW,ANUKET PEARL SHIPPING LTD,https://world-ships.com/company/b5c9ac27ebb22685219d237244198d21#.XPwYOdNKjaY,ABC Maritime AG,CHE,NA,http://www.abcmaritime.ch/  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=20878221,NA
273210110,PAMYATKIROVA,RUS,8701040,UFXA,carrier,144.35,12403,7600,OLYMPIA,"OFFICE 506, UL UNIVERSITETSKAYA 2G, KALININGRAD, 236040, RUSSIA.",RUS,46,26,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
273211110,PAMYATILICHA,RUS,8811675,UFYW,carrier,144.35,12406,7600,RUMB,"CARE OF BALTMED REEFER SERVICES LTD , 5, XENIAS STREET & CHARILAOU TRIKOUPI, KIFISIA, 145 62 ATHENS, GREECE.",RUS,16,1,0.06,RUMB LLC,GFW,RUMB LLC,https://world-ships.net/company/84f942dd7da137656bcd2716543422d9#.XP6sadNKjaY,BALTMED REEFER SERVICES LTD,GRC,Main Company: BALTMED REEFER SERVICES LTD,https://world-ships.net/company/84f942dd7da137656bcd2716543422d9#.XP6sadNKjaY  https://world-ships.net/company/7fe66954a759aa4e450756566606f9a5#.XP1uttNKjaY  http://www.hoovers.com/company-information/cs/company-profile.baltmed_reefer_service_ltd.20e00537525b04a5.html  https://panjiva.com/Baltmed-Reefer-Services-Ltd/39156111,NA
273312860,GARMONIYA,RUS,8516639,UERQ,carrier,103,4295,NA,YUZMORRYBFLOT,"UL ZAVODSKAYA 16, YUZHNO-MORSKOY, NAKHODKA, PRIMORSKIY KRAY, 692954, RUSSIA.",RUS,3,1,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
273313270,SIMFONIYA,RUS,8516627,UFEF,carrier,103,4298,NA,YUZMORRYBFLOT,"APARTMENT 20, UL FONTANNAYA 19, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,18,3,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
273324210,ARCTIC,RUS,8223464,UFOR,carrier,99.01,3526,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,37,12,0.32,DILMAS CO LTD,GFW,DILMAS OOO,https://world-ships.net/company/dcb478cd6178621c5fc0c0dad2246662#.XPwkLdNKjaY  https://dilmas.ru/en/  https://www.emis.com/php/company-profile/RU/Dilmas_OOO__%D0%94%D0%B8%D0%BB%D0%BC%D0%B0%D1%81_%D0%9E%D0%9E%D0%9E__en_3425802.html  http://www.hoovers.com/company-information/cs/company-profile.dilmas_ooo.8ace01042fbab110.html,DILMAS OOO,RUS,NA,NA,NA
273335960,FRIOAGATES,RUS,9081631,UGKH,carrier,133.95,6964,NA,DILMAS,"UL POGRANICHNAYA 72, NAKHODKA, PRIMORSKIY KRAY, 692910, RUSSIA.",RUS,39,6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
273353640,EKATERINA,RUS,8603171,UBZH8,carrier,116.57,4148,3307.5,UNITED HUATONG MARITIME,"UL PUSHKINSKAYA 40, VLADIVOSTOK, PRIMORSKIY KRAY, 690002, RUSSIA.",RUS,41,1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
273354920,ICEWIND,RUS,9003146,UBHH7,carrier,116.2,4280,NA,REFTRANSFLOT,"UL VOKZALNAYA 1, PETROPAVLOVSK-KAMCHATSKIY, KAMCHATSKIY KRAY, 683000, RUSSIA.",RUS,15,2,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
273356610,PROLIVLONGA,RUS,8136740,UBXG4,carrier,172.1,13496,NA,LINE INVEST C,"OFFICE 301, PEREULOK SHEVCHENKO 4, VLADIVOSTOK, PRIMORSKIY KRAY, 690091, RUSSIA.",RUS,43,13,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
273410910,LIMANSKIY,RUS,8423612,UGFF,carrier,78.7,2418,NA,LODIA,"UL BERYOZOVAYA 30, VLADIVOSTOK, PRIMORSKIY KRAY, 690012, RUSSIA.",RUS,13,2,0.15,LODIA LLC,GFW,LODIA LLC,https://world-ships.net/company/fda4a5b09f2f1fd1f0c53b8fb2ed4ed6  https://corprussia.com/company/1723129  https://www.vesselsvalue.com/company/83762/Lodia-LLC,LODIA LLC,RUS,NA,NA,NA
273421240,ANTONGURIN,RUS,8723402,UERJ,carrier,126.6,6689,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,47,16,0.34,BEREG MECHTY JSC,GFW,BEREG MECHTY JSC,https://world-ships.net/company/650f4aa49f4666f22d66c5fa4baba517#.XPwaZ9NKjaY  https://corprussia.com/company/1421322,BEREG MECHTY JSC,RUS,NA,NA,NA
273441670,JUPITER,RUS,7700116,UDOW,carrier,71,1727,NA,VLADKRISTALL,"UL 50-LET VLKSM 26-B, VLADIVOSTOK, PRIMORSKIY KRAY, 690077, RUSSIA.",RUS,17,3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
273449080,SORAKSAN,RUS,8723361,UAYO,carrier,126.6,6648,NA,ZOLOTAYA DOLINA,"CARE OF VOSTOKTRANSSHIPPING CO LTD , UL SVETLANSKAYA 83, VLADIVOSTOK, PRIMORSKIY KRAY, 690001, RUSSIA.",RUS,36,11,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
273512400,TAMBOV,RUS,8225723,UIMH,carrier,152.7,12527,NA,DALTRANSFLOT,"RUSSIA, 690012 VLADIVOSTOK-12, A/YA 12/125",RUS,52,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
273811020,KAPITANPRYAKHA,RUS,8834483,UIWB,carrier,133.95,6998,NA,BEREG MECHTY,"UL TUCHKOVSKAYA 3, MOSCOW, 117452, RUSSIA.",RUS,39,8,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
273812710,VSEVOLODSIBIRTSEV,RUS,8610277,UDVB,carrier,165.97,32096,NA,YUZHMORRYBFLOT,"UL NABEREZHNAYA 8, NAKHODKA, PRIMORSKIY KRAY, 692955, RUSSIA.",RUS,60,1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
273825200,PREDSEDATELGANSLEP,RUS,8834689,UIVX,carrier,55,683,NA,AMURRYBPROM,"UL GOGOLYA 27, KHABAROVSK, 680000, RUSSIA.",RUS,3,1,0.33,AMURRYBPROM OOO,GFW,AMURRYBPROM OOO,https://world-ships.com/company/5d97ed7188aa0ff1a4eac67ee1cbc0ae#.XPrJ29NKjaY  https://www.megafishnet.com/companies/1271/,AMURRYBPROM OOO,RUS,NA,NA,NA
280032331,SHUNHANG,PAN,8214645,H3DE,carrier,94.2,3321,3347,SHUNHANG INTERNATIONAL SHIPPING,"ROOM 2502, TECHNOLOGICAL REAL STATE BUILDING, DONGHAI WEST ROAD, NO. 2121, GOUSHAN STREET, PUTUO, ZHOUZHAN, CHINA",CHN,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
325753000,OCEANSTAR96,DMA,8517358,J7DE4,carrier,145.55,6579,NA,HONG KONG HOI SHUN IMPORT,"ROOM 603B, 6TH FLOOR, HANG POINT COMMERCIAL BUILDING, CHEUNG SHA WAN ROAD, KOWLOON, HONG KONG, CHINA.",HKG,3,3,1,HONG KONG HOI SHUN IMPORT,GFW,HONG KONG HOI SHUN IMPORT & EXPORT TRADING LTD,https://www.importgenius.com/peru/suppliers/hongkong-hui-shun-import-export-trading-limited  https://opencorporates.com/companies/hk/1869013  https://world-ships.net/company/96b474980c25bfa1f26776068d824843#.XPwxMneZPwc,HONG KONG HOI SHUN IMPORT & EXPORT TRADING LTD,HKG,NA,NA,NA
351336000,FRIONAGATO,PAN,9227596,H3QQ,carrier,135.03,7367,7060.79,STARFIRE MARINE,"VIA ESPANA 122, DELTA TOWER, FLOOR 14, CITY OF PANAMA, REPUBLIC OF PANAMA",GRC,11,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
351478000,ATMODA,PAN,8908076,3FNT8,carrier,144.34,12413,7707.67,BECKENSFIELD,"C/O TRIDENT TRUST COMPANY(B.V.I.) LIMITED, TRIDEN CHAMBERS, P.O. BOX 146, ROAD TOWN",VGB,25,24,0.96,BECKENSFIELD LTD,GFW,BECKENSFIELD LTD,https://world-ships.net/company/2774f1435640e06261e00adfd2a8485e#.XPwZO9NKjaY,Laskaridis Shipping Co. Ltd.,GRC,BECKENSFIELD LTD is owned by Lavinia Corp which is a subsidiary of Laskaridis Shipping Co. Ltd.,https://world-ships.net/company/2774f1435640e06261e00adfd2a8485e#.XPwZO9NKjaY  https://www.fis.com/fis/companies/details.asp?l=e&company_id=69587  https://www.fis.com/fis/companies/details.asp?l=e&company_id=159046  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=25238439,NA
351527000,OCEANMARINER,PAN,8217104,H8IL,carrier,125,5070,5222,GOOD SUCCESS TRANSPORTATION,"HONG KONG, CHINA.",HKG,21,21,1,HONGKONG HE YUE SHIPPING LTD,GFW,HONGKONG HE YUE SHIPPING LTD,https://world-ships.net/company/77640d12c7954e8a7833891a96520ffd#.XPwx2XeZPwc,FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD,CHN,Main Company: FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD,https://www.imarine.cn/thread-268712-1-1.html https://world-ships.net/company/103bea2731f65a2ff09c67a03dfcc490#.XPwyE3eZPwc  https://world-ships.net/company/77640d12c7954e8a7833891a96520ffd#.XPwx2XeZPwc,NA
351537000,RUISHENG,PAN,8688755,3FOH6,carrier,98,3298,2060,RUI CHENG INTERNATIONAL,"ROOM D, 10TH FLOOR, TOWER A, BILLION CENTER, 1, WANG KWONG ROAD, KOWLOON BAY, KOWLOON, HONG KONG, CHINA.",CHN,13,13,1,RUI CHENG INTERNATIONAL,GFW,RUI CHENG INTERNATIONAL SHIPPING LTD,https://world-ships.com/company/7050356717e5c36616d1341a5dc3d233#.XP11ZdNKjaY  https://hk105577760.fm.alibaba.com/,RUI CHENG INTERNATIONAL SHIPPING LTD,HKG,NA,NA,NA
351537000,RUISHENG,PAN,8688755,3FOH6,carrier,98,3298,2060,RUI CHENG INTERNATIONAL,"ROOM D, 10TH FLOOR, TOWER A, BILLION CENTER, 1, WANG KWONG ROAD, KOWLOON BAY, KOWLOON, HONG KONG, CHINA.",CHN,13,13,1,"RUI CHENG INTERNATIONAL (EFFECTIVE 2016-04-20) IMO COMPANY NUMBER 5912100 NATIONALITY OF REGISTRATION HONG KONG, CHINA",GFW,RUI CHENG INTERNATIONAL SHIPPING LTD,https://world-ships.com/company/7050356717e5c36616d1341a5dc3d233#.XP11ZdNKjaY  https://hk105577760.fm.alibaba.com/,RUI CHENG INTERNATIONAL SHIPPING LTD,HKG,NA,NA,NA
351543000,LIAOYUREEFER1,PAN,8904068,3FLJ6,carrier,115,5286,5001,HONG KONG EVER OCEAN SHIPPING,"UNIT 2507, 25/F., COSCO TOWER, GRAND MILLENNIUM PLAZA, 183 QUEEN'S ROAD CENTRAL HK",HKG,7,6,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
351763000,SHINHANG,PAN,8214839,3FRT,carrier,143.54,8739,6714,SHIN HANG SHIPPING,"TRUST COMPANY COMPLEX, AJELTAKE ROAD, AJELTAKE ISLAND, MAJURO, REPUBLIC OF THE MARSHALL ISLANDS MH96960",MHL,55,55,1,SHIN HANG SHIPPING CO LTD,GFW,SHIN HANG SHIPPING CO LTD,https://world-ships.com/company/ffa5f15f940572bee70fb4140c498352#.XP6vctNKjaY  https://world-ships.com/company/2bff4f9d055456345a9330740f42ddb4#.XP6vwdNKjaY,FAVOUR SHIP MANAGEMENT CO LTD,HKG,Main Company: FAVOUR SHIP MANAGEMENT CO LTD,https://world-ships.com/company/ffa5f15f940572bee70fb4140c498352#.XP6vctNKjaY  https://world-ships.com/company/2bff4f9d055456345a9330740f42ddb4#.XP6vwdNKjaY  https://www.hkgbusiness.com/en/company/Favour-Ship-Management-Co-Limited,NA
351776000,MINGHANG,PAN,8130837,3FIY4,carrier,145.55,6183,5803,QIHANG INTERNATIONAL SHPG HKG,"CARE OF EAST MARITIME SERVICES SA , VIA ESPANA & CALLE GABRIELA MISTRAL, 10, LA CRESTA, PANAMA CITY, PANAMA.",PAN,16,16,1,QIHANG INTERNATIONAL SHPG-HKG,GFW,East Maritime Services SA,https://world-ships.com/company/c001acf42fbca090b2cf755ee621d124#.XP10sNNKjaY  https://world-ships.com/company/ee466bd782a4dfe2cfccd49582a1cbe4#.XP7XWneZPwc  https://www.vesselsvalue.com/company/46804/East-Maritime-Services-SA,East Maritime Services SA,PAN,NA,NA,Potentially connected to EAST MARITIME SERVICES CO LTD but could not be connected using open source data
351822000,TAIFU3,PAN,7927453,H3AI,carrier,99.58,3505,3678,SUN VICTORY SHIPPING,"NO. 13 YU KANG P'EI 1 ROAD, CHIEN CHEN DIST, KAOHSIUNG, TAIWAN",TWN,25,22,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
351960000,MINGHANG5,PAN,8921470,3EYJ5,carrier,150.01,10405,11220,MINGHANG INTERNATIONAL SHIPPING,UNIT D 16/F ONE CAPITAL PLACE 18 LUARD RPAD WAN CHAI HK,HKG,68,68,1,"MINGHANG INTERNATIONAL-HKG (EFFECTIVE 2017-09-26) IMO COMPANY NUMBER 5819734 NATIONALITY OF REGISTRATION HONG KONG, CHINA",GFW,MINGHANG INTERNATIONAL SHIPPING CO LTD,https://world-ships.net/company/97d53a31278d63970814d36fe4c1c648,"Qingdao QOF Group Co., Ltd.",CHN,"Main Company: Qingdao QOF Group Co., Ltd.",http://qofgroup.com/EN/ywpt.aspx,NA
352241000,TUNAPRINCESS,PAN,9314612,H3CN,carrier,120.75,4522,29993,STAR NAVIGATION,"MMG TOWER 16TH FLOOR, 53RD E STREET,URBANIZACION, MARBELLA, PANAMA, REPUBLIC OF PANAMA",PAN,18,16,0.89,STAR NAVIGATION S.A.,GFW,STAR NAVIGATION SA,https://world-ships.com/company/3fe2319f2eadf23f2031702383b54a7f#.XP12NdNKjaY,Shinko Kaiun Co Ltd,JPN,Main Company: Shinko Kaiun Co Ltd,https://world-ships.com/company/3fe2319f2eadf23f2031702383b54a7f#.XP12NdNKjaY  https://world-ships.com/company/1f60cba9166300d14502e5c9fc807ee0#.XP12WNNKjaY  https://www.bloomberg.com/profile/company/5828605Z:JP  http://portal.infospectrum.net/searchorder/GoogleCompanySearch.aspx?CompanyId=13135,NA
352351000,AVUNDAREEFER,PAN,9072824,3EJD5,carrier,125,7313,7060,LILIUM SHIPPING,"SAMUEL LEWIS AVENUE, COMOSA BUILDING, 1ST FLOOR, PANAMA CITY, REPUBLIC OF PANAMA",PAN,4,4,1,LILIUM SHIPPING CO SA,GFW,LILIUM SHIPPING CO SA,https://world-ships.com/company/c2eab6ba779a6ca5b26c0ea374edcc81#.XPxKLneZPwc,YUGREFTRANSFLOT JSC,RUS,Main Company: JSC YUGREFTRANSFLOT,http://www.hoovers.com/company-information/cs/company-profile.yugreftransflot_ao.4ad86101ddb7a92c.html  https://world-ships.com/company/c2eab6ba779a6ca5b26c0ea374edcc81#.XPxKLneZPwc  https://world-ships.com/company/9b7d3d8b2e124604ee68b27053ab9d31#.XPxKX3eZPwc  https://marbnet.com/directory/listing/jsc-yugreftransflot,NA
352796000,KHANA,PAN,8810645,3EYB6,carrier,94.97,3475,3603,NOK,"5TH FLOOR OF CEMENTO PANAMA BUILDING, P.O. BOX 4493, PANAMA REPUBLICA DE PANAMA",PAN,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
352894000,TUNAQUEEN,PAN,9278612,HPFK,carrier,113.37,4499,4070,STAR NAVIGATION,"SWISSBANK TOWER 16TH FLOOR 53RD ST., URBANIZACION OBARRIO PANAMA-CITY REPUBLIC OF PANAMA",PAN,22,22,1,STAR NAVIGATION SA,GFW,STAR NAVIGATION SA,https://world-ships.com/company/3fe2319f2eadf23f2031702383b54a7f#.XP12NdNKjaY,Shinko Kaiun Co Ltd,JPN,Main Company: Shinko Kaiun Co Ltd,https://world-ships.com/company/3fe2319f2eadf23f2031702383b54a7f#.XP12NdNKjaY  https://world-ships.com/company/1f60cba9166300d14502e5c9fc807ee0#.XP12WNNKjaY  https://www.bloomberg.com/profile/company/5828605Z:JP  http://portal.infospectrum.net/searchorder/GoogleCompanySearch.aspx?CompanyId=13135,NA
353185000,KURIKOMA,PAN,9145920,3FTS6,carrier,114.82,4150,2950,PANAMA TRL,"JUST AROSEMENA AVE. & 32ND ST. NO. 3-32 PANAMA CITY, PANAMA",PAN,6,6,1,PANAMA TRL SA,GFW,PANAMA TRL SA,https://world-ships.net/company/d5803ea59ef66ca9db115aa91a6caeec#.XP1v8NNKjaY,"OCEAN, K.K.",JPN,"Main Company: OCEAN, K.K. which owns TOEI REEFER LINE LTD",http://www.hoovers.com/company-information/cs/company-profile.ocean_kk.d353b1d2ca94c708.html  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=5759915  https://world-ships.net/company/449d59a10ca80891d87579fb1d001d42#.XP1wIdNKjaY  https://world-ships.net/company/d5803ea59ef66ca9db115aa91a6caeec#.XP1v8NNKjaY  http://www.hoovers.com/company-information/cs/company-profile.toei_reefer_line_ltd.7e059a894e7a842a.html  https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&letter=t&page=75&company_id=43&country_id=,NA
353306000,FRIOCHIKUMA,PAN,9184536,3FWG8,carrier,127.38,7367,9600,SKY GLOBAL MARITIME,"OMEGA BUILDING MEZZANINE, SAMUEL LEWIS AVENUE & 53 RD STREET, PANAMA, REPUBLIC OF PANAMA",PAN,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
353709000,OCEANSTAR86,PAN,9045948,3FKX6,carrier,133.83,9829,9170,HONG KONG HOI SHUN IMPORT,"ROOM 603B, 6TH FLOOR, HANG POINT COMMERCIAL BUILDING, CHEUNG SHA WAN ROAD, KOWLOON, HONG KONG, CHINA.",HKG,10,10,1,"HONG KONG HOI SHUN IMPORT (EFFECTIVE 2018-03) IMO COMPANY NUMBER 5866419 NATIONALITY OF REGISTRATION HONG KONG, CHINA",GFW,HONG KONG HOI SHUN IMPORT & EXPORT TRADING LTD,https://www.importgenius.com/peru/suppliers/hongkong-hui-shun-import-export-trading-limited  https://opencorporates.com/companies/hk/1869013  https://world-ships.net/company/96b474980c25bfa1f26776068d824843#.XPwxMneZPwc,HONG KONG HOI SHUN IMPORT & EXPORT TRADING LTD,HKG,NA,NA,NA
353773000,ASIANBRIER,PAN,9172703,3FTB8,carrier,130.02,6873,7158.72,KYOKUYO SHIPPING PANAMA,81 BROAD STREET,LBR,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
353901000,HONGYING,PAN,9097056,H90Q,carrier,88.6,2383,NA,WAN SHUN SHIPPING,"CARE OF HAI LING SHIPPING (HONG KONG) LTD , JFZ1083, ROOM C, 2ND FLOOR, CAPITAL TRADE CENTRE, 62, TSUN YIP STREET, KWUN TONG, KOWLOON, HONG KONG, CHINA.",HKG,5,5,1,WAN SHUN SHIPPING CO LTD,GFW,WAN SHUN SHIPPING CO LTD,https://world-ships.net/company/e74d798ce840b32198dc900683f48f4a#.XP67tdNKjaY,FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD,CHN,Main Company: FUZHOU LUCKY OCEAN SHIPPING SERVICES CO LTD,https://www.imarine.cn/thread-268712-1-1.html https://world-ships.net/company/103bea2731f65a2ff09c67a03dfcc490#.XPwyE3eZPwc  https://world-ships.net/company/e74d798ce840b32198dc900683f48f4a#.XP67tdNKjaY,NA
353981000,FRIOHELLENIC,PAN,9081679,3FVQ8,carrier,143.3,9997,15600,EXPLORER MARINE,"53RD STREET, URBANIZACION OBARRIO TORRE SWISS BANK PANAMA, REPUBLIC OF PANAMA",PAN,14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
353982000,FRIOATHENS,PAN,8710340,3FAX7,carrier,141.6,8519,8385,ZEUS MARINE,"1ST FLOOR, INTERNATIONAL BLDG LINI HIGHWAY",VUT,1,1,1,ZEUS MARINE LTD,GFW,ZEUS MARINE LTD,https://world-ships.com/company/3e0820ba8f5d63d2388292270a7bd8ea#.XP6_A9NKjaY,Laskaridis Shipping Co. Ltd.,GRC,ZEUS MARINE LTD is owned by Lavinia Corp which is a subsidiary of Laskaridis Shipping Co. Ltd.,https://world-ships.com/company/3e0820ba8f5d63d2388292270a7bd8ea#.XP6_A9NKjaY  https://world-ships.com/company/153c97e6e4e6d0b296f3913308d2a400#.XP6_RdNKjaY   https://www.fis.com/fis/companies/details.asp?l=e&company_id=69587  https://www.fis.com/fis/companies/details.asp?l=e&company_id=159046  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=25238439,NA
354062000,HAIFENG668,PAN,8800236,3EIN8,carrier,124.7,4970,4438.7,FIRST OCEAN DEVELOPMENT,"UNIT 502, 5F., HANG SENG NORTH POINT BUILDING, 341 KING’S ROADA, NORTH POINT, HONG KONG.",HKG,26,13,0.5,FIRST OCEAN DEVELOPMENT LTD,GFW,FIRST OCEAN DEVELOPMENT LTD,https://world-ships.com/company/9ea9799b30644884f28b9d2b69feb3fd#.XPwnJ9NKjaY,"China National Agricultural Development Group Co., Ltd",CHN,"Main Company: China National Fisheries Corporation Majority Shareholder: China National Agricultural Development Group Co., Ltd",https://world-ships.com/company/9ea9799b30644884f28b9d2b69feb3fd#.XPwnJ9NKjaY,NA
354136000,ROYALCOOP,PAN,8609840,3FWS5,bunker,90,4007,2345,COSMIC VIEW,"P.O. BOX 957, OFFSHORE INCORPORATIONS CENTRE, ROAD TOWN, TORTOLA, BRITISH VIRGIN ISLANDS",VGB,68,68,1,"COSMIC VIEW LTD (EFFECTIVE 2017-04-26) IMO COMPANY NUMBER 5972916 NATIONALITY OF REGISTRATION VIRGIN ISLANDS, BRITISH",GFW,COSMIC VIEW LTD,https://world-ships.net/company/714930765a07f3b7b8041f048d21a939#.XPwfJdNKjaY,Winson Oil Trading Pte. Ltd.,SGP,Main Company: Winson Oil Trading Pte Ltd aka Winson Group,https://world-ships.net/company/714930765a07f3b7b8041f048d21a939#.XPwfJdNKjaY  https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=108906926,NA
354493000,MABAH,PAN,9105358,3FSC4,carrier,120.75,4457,3087,GJENDE REEFER,HAAKON VII`S GATE 1. N-0160 OSLO NORWAY.,NOR,14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
355141000,YUNGDAFA102,PAN,8323599,3FEJ5,carrier,93.88,2829,2471.99,ETERNAL MASTER,"Nº 121, GUOGUANG RD.,QIANZHEN DIST.,KAOHSIUNG CITY 806, TAIWAN",TWN,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
355168000,SHINIZU,PAN,9186936,3EYX6,carrier,88.11,2781,2647,SEA ROAD LINE,80 BROAD STREET MONROVIA LIBERIA,LBR,9,1,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
